Country Name;Country Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Bangladesh;BGD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.41738288;29.41039749;33.22847987;35.36894702;38.30110632;42.69848803;47.46309629;53.26430571;55.62679164;60.06507997;66.49271329;73.76081591;82.23952717;85.739754;91.10420427;95.81131224;108.9215005;114.3542096;121.5304119;128.6381885;133.9129681;153.5740438;;;
Bulgaria;BGR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;373;469;549;604;632;706;742;786;898;933;1058;1115;1227;1186;1349;1355;1491;1603;1681;1778;2139;2391;;;
Bahrain;BHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1312.972702;1433.991594;1514.126103;1667.321593;1539.289705;1459.195056;1418.992162;1561.246207;1540.336147;2020.987421;1959.964758;1931.052366;2208.420232;2312.513621;2297.753074;2284.341337;2200.839295;2207.848079;2068.201303;2053.977565;2373.585575;2341.753004;;;
Bahamas, The;BHS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;965.9968433;1030.99028;1030.990479;1080.025595;1111.006578;1164.569257;1297.254861;1390.391949;1475.889198;1485.903849;1536.558002;1578.640398;1630.67231;1696.66238;1759.381428;1664.826192;1837.84534;2303.22401;2127.753045;2133.827425;2150.389398;2369.338354;;;
Bosnia and Herzegovina;BIH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;329;325;345;407;490;526;611;712;815;784;819;895;958;1018;1056;1093;1176;1198;1297;1439;1539;1693;;;
Belarus;BLR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;308;359;380;428;490;589;617;706;740;738;847;787;925;1054;998;1070;1025;1030;1045;1147;1265;1389;;;
Belize;BLZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;225.312388;274.6556942;292.5760881;313.5408502;316.2301225;325.3139941;350.7043904;412.8975393;448.2939926;435.7880752;432.6109745;436.3878562;397.5688204;413.2355977;451.4331326;433.5903139;436.5594785;409.6298524;427.6068083;452.9536525;431.4163959;479.4455205;;;
Bermuda;BMU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolivia;BOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;147.8656766;165.8117225;172.0892206;187.9985695;184.9363846;204.2377943;199.1614507;211.7922577;220.8769309;253.683426;264.2458325;277.4834701;305.4682026;362.4011636;408.0591502;458.0290116;501.9642145;535.1127992;572.4715448;612.2482399;649.8709767;721.8169786;;;
Brazil;BRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;749.6739338;786.8124543;827.1443876;793.8049528;845.6280134;880.2661031;958.1410187;1027.075582;1063.984617;1110.023875;1132.54524;1167.384279;1160.018986;1239.222773;1315.285906;1309.010776;1302.748426;1371.2345;1416.764708;1471.489065;1534.589783;1625.641236;;;
Barbados;BRB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;694.3169807;716.3635248;774.6911713;917.9053826;1040.714927;1030.048385;1091.037499;1048.275929;1144.931788;1202.107977;1121.853299;1155.11369;1223.19036;1164.951513;1085.136795;1087.295131;1118.675649;1076.865109;1055.221781;1025.890281;1083.654312;1228.525836;;;
Brunei Darussalam;BRN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1869.337615;1923.543061;1980.584107;2094.513891;2081.631329;1854.456258;1676.123322;1727.487058;1643.12491;2041.575476;1794.926231;1534.164313;1602.710419;1562.410683;1532.058493;1469.795113;1413.725004;1366.088725;1473.679888;1404.597073;1555.089675;1456.427902;;;
Bhutan;BTN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;116.6106972;137.458129;137.2504141;135.0968085;160.6926195;154.2453372;179.2607142;194.6941811;175.9881992;195.0747463;213.4078376;220.0866704;260.6579682;277.831917;283.6629262;333.1391747;346.780921;350.5236702;364.3314036;429.1484951;494.1659858;441.8262516;;;
Botswana;BWA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;558.3613671;592.3790504;653.9884018;660.8068226;644.5785919;594.0824629;595.2899219;718.0677875;790.9775803;751.6714046;776.7871878;777.5940832;782.5214368;851.5728054;843.1678066;819.0378206;881.2363523;971.7263764;925.3133831;964.5758948;874.5876005;1095.999419;;;
Central African Republic;CAF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.38558318;26.01376314;29.39134742;30.27787883;31.22410113;33.02139525;35.41870738;38.96689834;34.06174214;41.94574911;32.20221013;34.75639698;40.13150553;32.60195396;30.59408131;36.93946332;42.8701105;55.96283089;98.71232621;71.49656213;82.36219994;85.65123263;;;
Canada;CAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2422.017833;2608.879;2745.604972;2917.287412;3078.593886;3285.148845;3565.457424;3741.068696;3882.510794;4148.245239;4286.290853;4326.78999;4447.522857;4614.791097;4697.612837;4793.062423;5126.219647;5268.307561;5456.314351;5497.487032;6175.259733;6552.219354;6443.422521;;
Central Europe and the Baltics;CEB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;562.6183527;629.6498388;706.8025561;780.1436696;843.7818891;900.9582768;980.6723134;1079.364845;1242.847338;1328.068725;1417.001847;1444.79806;1500.097146;1574.514875;1630.152888;1688.328482;1833.401373;1950.977861;2078.577834;2307.128532;2496.643463;2748.555335;;;
